СКЛАД;СКЛАД;;МФУ;"Samsung SCX-4220";140006208;;30*1*01894;Списание;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023585;0511HLPB901010M;303130023585;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023593;0511HLPB901048J;303130023593;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012360;W3019317040;304140012360;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012362;W3019317559;304140012362;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023592;0511HLPB901294X;303130023592;Хранение;
СКЛАД;СКЛАД;;МФУ;"Ricoh MP201";140012361;W3019317977;304140012361;Хранение;
СКЛАД;СКЛАД;;Монитор;"Samsung E 1720";130023591;0511HLPB901247D;303130023591;Хранение;
СКЛАД;СКЛАД;;Коммутатор;"Cisco 2960";;;;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01369;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";125651;HUB6381924;30*1*00828;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123160;CZC6341HF5;30*1*00688;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01476;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP L1706";141397;CNT64408V9;30*1*01014;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1706";109037;CNT534249J;30*1*00396;Списание;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";123135;CZC6343F3C;30*1*00653;Списание;
СКЛАД;СКЛАД;;Монитор;"HP L1706";135968;CNC638RY75;30*1*00928;Списание;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01077;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01075;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP L1706";123237;CNN6281K7T;30*1*00722;Пользователь;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01161;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01395;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;;Хранение;
СКЛАД;СКЛАД;;Монитор;"HP LE1711";130016226;3CQ116B7LP;303130016226;Хранение;
СКЛАД;СКЛАД;;МФУ;"Samsung SCX 4623";140007659;Z2U1BAAB200740N;304140007659;Хранение;
СКЛАД;СКЛАД;;"Web камера";Logitech;;;30*2*01558;Хранение;
СКЛАД;СКЛАД;;"Системный блок";"HP dc7600";159817;CZC73541J8;30*1*01327;Списание;
СКЛАД;СКЛАД;;Ноутбук;"HP 630";130015918;5CB1193298;303130015918;Ремонт;
